Pregunta;Opción1;Opción2;Opción3;Opción4
¿Para qué se utiliza NAT en redes?;Para traducir direcciones IP privadas a direcciones IP públicas.;Para aumentar la velocidad de la conexión.;Para ofrecer mejor seguridad en la red.;Para conectar redes de diferentes protocolos.
"¿Qué son las ""Opciones"" en la cabecera de un paquete IP?";Control de flujo.;Parte obligatoria del paquete.;Un campo opcional de longitud variable.;Sección que gestiona la fragmentación.
Al configurar NAT-PAT, ¿qué significa la IP invitado?;Es la dirección IP asignada a la máquina virtual que ejecuta la aplicación.;Es la dirección IP del anfitrión donde se lanzan las aplicaciones.;Es irrelevante para la configuración.;Es la dirección IP de internet de la máquina física.
¿Qué ocurre con un paquete si el campo TTL de IPv4 tiene un valor de 0?;El paquete es reenviado por otro router.;El paquete se guarda temporalmente.;El paquete es descartado y no se entrega.;El paquete es entregado al receptor.
¿Por qué se creó el nuevo protocolo de direccionamiento IP IPv6?;Para reemplazar los protocolos de capa de enlace.;Para aumentar el número de direcciones IP disponibles.;Para agregar más seguridad a la conexión.;Para simplificar la configuración de red.
¿Cuál de las siguientes es la característica del direccionamiento lógico?;Es siempre un número decimal.;Solo se utiliza en redes privadas.;Asignado por el administrador de red o automáticamente por DHCP.;Asignado de forma permanente en la tarjeta de red.
¿Cuáles son los cambios más importantes en el paquete IPv6 en relación con el paquete IPv4?;IPv6 no usa direcciones de loopback.;IPv6 permite direcciones más largas y más opciones de dirección.;IPv6 tiene una longitud de encabezado fija.;IPv6 elimina el campo TTL.
"¿Qué indica el campo ""longitud de la cabecera"" en el paquete IP?";La cantidad de datos transportados.;La cantidad de fragmentos.;La longitud de la cabecera en bloques de 32 bits.;La longitud total del paquete en bits.
¿Qué tipo de direcciones utiliza NAT para traducir?;Direcciones de red a direcciones locales.;Direcciones IP privadas a direcciones IP públicas.;Direcciones MAC a direcciones IP.;Direcciones de sitios web a direcciones IP.
En NAT-PAT, ¿qué significa PAT?;Port Address Translation.;Packet Addressing Technique.;Protocol Address Translation.;Path Address Table.
¿En qué se diferencian el comando ping y el traceroute?;Ping solo funciona con IPv6.;Traceroute es más seguro que ping.;Ping muestra información sobre direcciones IP.;Ping mide la latencia, mientras que traceroute mide el recorrido de los paquetes.
¿Cuántos bits tiene una dirección IPv6?;64 bits.;32 bits.;256 bits.;128 bits.
¿Cuál es una de las ventajas de usar PAT?;Aumenta la capacidad de la red.;Proporciona seguridad adicional.;Mejora la velocidad de la conexión.;Permite la compartición de una única IP pública.
"¿Qué función principal tiene el campo de ""TTL"" en el paquete IP?";Especificar la longitud de los datos.;Controlar la prioridad del paquete.;Limitar la cantidad de saltos en la red.;Definir la versión del paquete.
¿Qué protocolo se utiliza para resolver direcciones IP a direcciones físicas en una red?;ARP.;ICMP.;DHCP.;FTP.
¿Cuáles son las funciones principales del protocolo ICMP?;Asignar direcciones IP dinámicas.;Control de flujo y recuperación de errores.;Traducción de direcciones.;Proporcionar servicios de conexión.
¿Qué longitud total puede tener un datagrama IP, en octetos?;Hasta 256.;Hasta 4096.;Hasta 8192.;Hasta 65535.
¿Cuál es la función principal de la capa de red?;Enviar y recibir datos físicos a través de medios.;Asegurar la conexión física entre los equipos.;Determinar la mejor ruta para el envío de paquetes.;Procesar la información de la aplicación.
"¿Qué función cumple el ""checksum"" en la cabecera IP?";Controlar el flujo de datos.;Identificar la longitud del paquete.;Detección de errores;Indicar la versión del protocolo.
¿Qué son las redes privadas?;Redes que operan con seguridad en la transferencia de datos.;Redes diseñadas para uso interno, no accesibles desde Internet.;Redes que solo pueden ser accedidas con un nombre de usuario y contraseña.;Redes que utilizan direcciones IP de clase A.
¿El protocolo ARP es esencial para la interacción de?;Enrutadores de diferentes fabricantes.;Equipos que se comunican a través de redes Ethernet.;Dispositivos Bluetooth.;Sistemas de seguridad de red.
¿Qué protocolo permite que un dispositivo descubra otros dispositivos en una red local?;ARP.;ICMP.;SNMP.;DHCP.
¿Con qué tipo de tráfico opera el protocolo ICMP?;Mensajes de control y error.;Mensajes de envío de archivos.;Transacciones de bases de datos.;Transmisiones de video en vivo.
¿Qué función desempeña un router en una red?;Repetir señales para ampliar el rango.;Conectar dispositivos en una misma red.;Proveer acceso a Internet.;Dirigir el tráfico entre diferentes redes.
¿Cuál es la función principal de los RIR (Regional Internet Registries)?;Monitorear el tráfico de internet global.;Asignar y gestionar bloques de direcciones IP en diferentes regiones del mundo.;Proveer servicios de internet a usuarios finales.;Controlar la seguridad de las redes.
¿Cuál de los siguientes protocolos se encarga de gestionar mensajes de error en la red?;SMTP.;ICMP.;ARP.;HTTP.
¿Cuál de estas funciones realiza ICMP?;Asignar direcciones IP a dispositivos.;Encriptar datos en las comunicaciones.;Reportar errores en la entrega de paquetes.;Enviar archivos de un host a otro.
¿Cuál es el tamaño máximo de la cabecera de un paquete IP?;20 bytes.;60 bytes.;40 bytes.;80 bytes.
¿Cuál de las siguientes opciones describe el protocolo IP?;Protocolo que da acceso a internet en redes telefónicas.;Protocolo NO orientado a conexión que permite la entrega de datagramas.;Protocolo que asegura la entrega de paquetes.;Protocolo orientado a conexión que permite la entrega de datagramas
